"","state","county_name","county_fips","trump_share_2016","trump_share_2020","delta_share","z_delta","shift_flag"
"888","MICHIGAN","SCHOOLCRAFT","26153",0.615310544053924,0.651211801896733,0.0359012578428095,0.60885341746345,"Within two standard deviations"
"889","MINNESOTA","KOOCHICHING","27071",0.560898947037561,0.596792834440913,0.0358938874033521,0.608598104623122,"Within two standard deviations"
"890","MISSOURI","BATES","29013",0.747974573102331,0.783864068441065,0.0358894953387338,0.608445963017579,"Within two standard deviations"
"891","MICHIGAN","OGEMAW","26129",0.657263887551747,0.693121693121693,0.0358578055699458,0.60734822591176,"Within two standard deviations"
"892","WISCONSIN","TREMPEALEAU","55121",0.538500914076782,0.574317295188557,0.0358163811117741,0.605913278085925,"Within two standard deviations"
"893","TEXAS","RUSK","48401",0.772612403917026,0.773448098423539,0.000835694506512885,-0.605821585949704,"Within two standard deviations"
"894","TEXAS","REFUGIO","48391",0.620759837177748,0.656565656565657,0.0358058193879089,0.605547418799739,"Within two standard deviations"
"895","OHIO","MONTGOMERY","39113",0.479707782780554,0.480564607735424,0.00085682495486944,-0.605089624874861,"Within two standard deviations"
"896","WEST VIRGINIA","RALEIGH","54081",0.744412181781349,0.745272760224733,0.000860578443383497,-0.6049596036164,"Within two standard deviations"
"897","TEXAS","SCHLEICHER","48413",0.775259678942398,0.811044003451251,0.0357843245088526,0.604802833805032,"Within two standard deviations"
"898","TEXAS","ANGELINA","48005",0.724415766774765,0.725284896164748,0.000869129389982959,-0.604663397877731,"Within two standard deviations"
"899","OREGON","COLUMBIA","41009",0.496543692238335,0.532261568542255,0.0357178763039201,0.602501060615789,"Within two standard deviations"
"900","TENNESSEE","SCOTT","47151",0.848518882493332,0.884224480777729,0.0357055982843971,0.602075748657646,"Within two standard deviations"
"901","WEST VIRGINIA","TUCKER","54093",0.738129496402878,0.739073881373569,0.000944384970691492,-0.602056536214699,"Within two standard deviations"
"902","TEXAS","WISE","48497",0.834275104940265,0.835223234976054,0.00094813003578953,-0.601926806744304,"Within two standard deviations"
"903","COLORADO","COSTILLA","08023",0.318181818181818,0.353868194842407,0.0356863766605887,0.601409909476875,"Within two standard deviations"
"904","ALASKA","DISTRICT 1","02001",0.47905995781862,0.48003828274542,0.000978324926799723,-0.600880852370518,"Within two standard deviations"
"905","TEXAS","BROWN","48049",0.856766005988878,0.857786962239339,0.00102095625046095,-0.599404098590261,"Within two standard deviations"
"906","NEW YORK","WESTCHESTER","36119",0.311984880721732,0.31305203725136,0.00106715652962858,-0.597803715795397,"Within two standard deviations"
"907","MISSISSIPPI","CARROLL","28015",0.687228654124457,0.688300298193299,0.00107164406884208,-0.597648266939287,"Within two standard deviations"
"908","WISCONSIN","OCONTO","55083",0.663379717689458,0.698944647856989,0.0355649301675307,0.5972029894866,"Within two standard deviations"
"909","TEXAS","GRAY","48179",0.87778528021607,0.878951426368543,0.00116614615247257,-0.594374704280232,"Within two standard deviations"
"910","ALABAMA","DALLAS","01047",0.308056619838229,0.30922525750112,0.00116863766289055,-0.594288398082997,"Within two standard deviations"
"911","TENNESSEE","BENTON","47005",0.745259165613148,0.780716253443526,0.0354570878303783,0.593467318965854,"Within two standard deviations"
"912","INDIANA","STARKE","18149",0.690114892694559,0.72555879494655,0.0354439022519912,0.593010569067994,"Within two standard deviations"
"913","WISCONSIN","CLARK","55019",0.635922330097087,0.671365283930729,0.0354429538336415,0.592977715751161,"Within two standard deviations"
"914","MISSOURI","COLE","29051",0.658639696045379,0.659920564648739,0.00128086860335985,-0.590400705856576,"Within two standard deviations"
"915","KANSAS","HARPER","20077",0.774243599689682,0.809559372666169,0.0353157729764868,0.588572156752525,"Within two standard deviations"
"916","TEXAS","AUSTIN","48015",0.785155613491934,0.786519169987632,0.00136355649569808,-0.587536388094305,"Within two standard deviations"
"917","SOUTH DAKOTA","UNION","46127",0.669874635937698,0.671259175607002,0.00138453966930374,-0.586809528633169,"Within two standard deviations"
"918","WASHINGTON","WHITMAN","53075",0.42779543484542,0.429186784057559,0.00139134921213901,-0.586573645314046,"Within two standard deviations"
"919","TEXAS","HEMPHILL","48211",0.862536873156342,0.863953488372093,0.00141661521575087,-0.585698428146447,"Within two standard deviations"
"920","NEW YORK","GENESEE","36037",0.639944007263923,0.641364547585879,0.00142054032195627,-0.585562462032122,"Within two standard deviations"
"921","MONTANA","MUSSELSHELL","30065",0.805817287996723,0.841027421034363,0.0352101330376404,0.58491277755339,"Within two standard deviations"
"922","MISSOURI","KANSAS CITY","29380",0.191709240208085,0.193150133557759,0.00144089334967368,-0.58485743089445,"Within two standard deviations"
"923","TENNESSEE","MAURY","47119",0.672877378495292,0.674368261997128,0.00149088350183546,-0.583125766478698,"Within two standard deviations"
"924","MONTANA","BEAVERHEAD","30001",0.69148277995463,0.692987104751811,0.00150432479718077,-0.58266015851704,"Within two standard deviations"
"925","MINNESOTA","HUBBARD","27057",0.631116905693177,0.63262630158118,0.00150939588800314,-0.582484495368471,"Within two standard deviations"
"926","WISCONSIN","ONEIDA","55085",0.564290038653192,0.56587607102943,0.00158603237623767,-0.57982979891557,"Within two standard deviations"
"927","ILLINOIS","PULASKI","17153",0.612431444241316,0.647484756097561,0.0350533118562447,0.579480474435365,"Within two standard deviations"
"928","ILLINOIS","PEORIA","17143",0.453906220144453,0.455527371893347,0.0016211517488936,-0.578613259951356,"Within two standard deviations"
"929","MISSOURI","ST. LOUIS CITY","29510",0.158791380506285,0.160412947178916,0.00162156667263166,-0.578598886947047,"Within two standard deviations"
"930","CALIFORNIA","MARIN","06041",0.156318884493046,0.157941346338959,0.00162246184591308,-0.578567878045286,"Within two standard deviations"
"931","MISSOURI","NEW MADRID","29143",0.716324588826967,0.751310344827586,0.0349857560006187,0.577140332103239,"Within two standard deviations"
"932","WISCONSIN","CRAWFORD","55023",0.496384297520661,0.531339850488787,0.0349555529681255,0.576094095707577,"Within two standard deviations"
"933","WASHINGTON","GARFIELD","53023",0.682985553772071,0.717931497649429,0.0349459438773585,0.575761235737577,"Within two standard deviations"
"934","KANSAS","GREELEY","20071",0.821538461538462,0.856474258970359,0.0349357974318972,0.575409761741363,"Within two standard deviations"
"935","TEXAS","LLANO","48299",0.794390734182062,0.796129541864139,0.00173880768207713,-0.574537645375578,"Within two standard deviations"
"936","IDAHO","BONNER","16017",0.637110251635391,0.671995610023779,0.0348853583883878,0.573662547679539,"Within two standard deviations"
"937","OHIO","FAYETTE","39047",0.716269485755241,0.751110053916905,0.0348405681616636,0.572111009257716,"Within two standard deviations"
